# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
ECSPGSQL;60;1430498400;1490636;2620328;63.74;83916;2346528;2501284;30.12
ECSPGSQL;60;1430498460;1312688;2798276;68.07;84460;2520040;2501316;30.12
ECSPGSQL;60;1430498520;1124828;2986136;72.64;84992;2702752;2501244;30.12
ECSPGSQL;60;1430498580;963628;3147336;76.56;85444;2859836;2501092;30.11
ECSPGSQL;60;1430498640;777504;3333460;81.09;86084;3040868;2501192;30.12
ECSPGSQL;60;1430498700;585172;3525792;85.77;86720;3228496;2501092;30.11
ECSPGSQL;60;1430498760;419508;3691456;89.80;87376;3389580;2501284;30.12
ECSPGSQL;60;1430498820;301344;3809620;92.67;87992;3504952;2501180;30.12
ECSPGSQL;60;1430498880;114024;3996940;97.23;88624;3685808;2504384;30.15
ECSPGSQL;60;1430498940;19360;4091604;99.53;85364;3779968;2501188;30.12
